YEAR,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,ANNUAL
1853,88.1,126.5,199.1,141.5,109.2,144,125.5,59.4,176.3,49,57.2,38.1,1313.9
1854,4.1,102.4,89.7,192.8,211.1,181.6,73.9,132.6,87.1,68.8,180.1,134.9,1459
1855,17.8,26.2,5.6,57.4,106.4,95,169.9,95,85.1,124.5,145.3,23.1,951.2
1856,33,40.1,1.5,22.4,92.7,149.4,149.9,164.3,78.5,57.4,85.1,42.2,916.4
1857,58.7,35.1,91.2,39.9,130,192.3,160,79.5,143.8,120.1,75.2,33,1158.7
1858,93,25.4,140,74.7,147.3,101.3,256,167.4,128,65,134.6,162.6,1495.3
1859,50.3,59.2,16,74.7,111.5,34.3,77,51.1,48.8,100.3,24.9,20.6,668.5
1860,31,83.1,52.3,28.7,121.7,285.8,90.7,81.8,90.7,186.2,98.8,80.8,1231.4
1861,19.8,95.8,47.5,96.3,273.1,208.5,230.9,98.6,94,74.2,121.2,90.2,1449.8
1862,50.8,38.9,130.6,188.2,109.5,147.3,117.9,137.2,71.1,85.9,14.2,55.4,1146.8
1863,9.1,23.7,17.7,73,47.1,102.3,117.3,109.7,154,123.6,123,225.1,1125.6
1864,80.3,15,32.3,10.9,85.1,94.5,119.1,138.9,87.9,97.5,55.1,135.1,951.7
1865,54.4,62.7,117.1,26.2,143.8,94.2,152.7,94.2,78.7,60.7,99.8,33.3,1017.8
1866,80.3,45.5,214.6,41.4,51.6,57.9,109.2,62.7,165.1,41.1,63,136.1,1068.6
1867,100.6,141,24.6,196.1,116.3,196.9,78.7,132.1,78.5,108.7,116.8,60.5,1350.8
1868,40.9,107.4,107.7,118.9,66.8,148.3,126.7,101.1,189.1,91.4,105.4,43.2,1247
1869,126.5,359.3,7.7,95.3,128.6,125.5,53.3,106.2,53.3,75.6,49.1,182.7,1363.1
1870,88.4,62.8,19,53.9,76.1,139.7,157.3,268.7,60.3,10.4,106.2,96.4,1139.2
1871,63.4,157.9,139.6,95.3,75.5,153.5,142.5,150.8,101.3,77.3,17.5,29.9,1204.5
1872,11.9,149.6,71.3,157.3,81.9,142,153.8,93.3,46.7,69.5,69,23.1,1069.4
1873,44.3,194.4,70.7,113.4,56.8,41.5,101.1,116.7,103,122.6,53.2,30.1,1047.8
1874,20.3,18.8,107.7,23.3,91.5,110.9,84.2,157.4,97,48.9,70.1,61.8,891.9
1875,58.7,18.5,16.5,55,176.5,138.6,117.2,117.7,98.7,215.6,102.7,187.8,1303.5
1876,107.8,29.5,52.1,86.1,78.9,102.7,159.2,85.2,92.3,56.3,155.5,114.6,1120.2
1877,152.7,122.4,86.8,50.6,168.9,81.5,34.8,77.8,65.5,51.3,61.6,74.8,1028.7
1878,97.4,43.5,13.7,33.7,85.2,159.1,120.3,114.2,73.2,127.3,29.5,48.5,945.6
1879,27.8,28.6,196.4,67.2,172.3,115,140.3,77.5,75.6,53,100.2,121.1,1175
1880,80.5,19.3,33.6,14.8,106.8,135.3,154.9,73.8,85.8,137.8,68.1,73.4,984.1
1881,81.6,35.4,18.1,42.3,24.5,170.1,70.5,109.5,55,54.5,117.8,92.5,871.8
1882,140.2,48.5,111.8,129.3,89.8,141.1,248.5,79.5,68.3,41.3,49.8,35.2,1183.3
1883,52.4,147.9,66,252.8,165.3,84.1,121.7,111.9,46.8,105.9,88.7,110.2,1353.7
1884,41.7,40.9,71.6,30.7,106.8,107.9,70.8,144.8,81.7,72.7,52.8,143.8,966.2
1885,48.4,4.3,60.3,14,118.1,55,144.2,69.1,59.2,57.7,71.6,14,715.9
1886,54.9,127.6,29.3,71.7,60.6,77.2,57.4,144.5,77.6,86.9,35.9,6.4,830
1887,32.9,78,20.3,50.2,134.7,160.8,150.6,35.3,116.3,82.3,62.4,45.1,968.9
1888,34.1,20.1,129.4,24.9,144.7,105,98,86.6,23.1,89.9,92.3,32,880.1
1889,16.4,102.7,17.9,26.4,137.7,264.2,111.5,65.9,147.8,81.4,28.3,66.7,1066.9
1890,24.7,1.8,66.5,140.3,110.1,95.2,132.2,113.1,90.2,260,88.5,50.3,1172.9
1891,55,232.8,39.8,92.4,86.7,37.4,133.1,61.4,49.7,67.2,37,23.8,916.3
1892,89.2,67,39,51.4,78.9,128.2,127.4,110.5,91.4,101.1,118.2,51.4,1053.7
1893,128.4,179.3,57.8,96.5,95,129,135.8,128.2,90.7,27.4,182.3,118.3,1368.7
1894,68.1,92.7,36,26.7,147.3,104.8,110.5,151.4,129,29.6,143.7,5.2,1045
1895,69.2,55.9,48.5,45.1,141.8,156.3,143.6,41.5,132.3,96.4,140.9,95.3,1166.8
1896,22.1,8.7,30.1,182.9,92.4,83.4,221,92.9,114.6,49,41.6,22.3,961
1897,141.8,136.9,83.6,53.9,153,94,132.9,116.9,105.5,92,38.4,3.3,1152.2
1898,79.6,19.9,76.7,24.8,93.4,101,157,150.7,57.3,118.8,60.7,95.3,1035.2
1899,92.4,47.2,55.8,61.2,75.7,120.9,135.3,70.4,33.3,121.6,52.1,8.7,874.6
1900,21.4,40.6,38.7,49.3,202.8,78.9,93.6,99.4,132.1,129.3,50.3,59.4,995.8
1901,81.9,101.1,130,28.4,25.2,69.9,232.3,81.9,21.7,79,36.7,90.9,979
1902,40.3,11.2,84.8,159.3,160.1,81.8,54.4,59.2,157.5,69.7,22.6,72.1,973
1903,181.2,52.9,35.1,67.7,154.7,81.3,88.2,85.7,61,83.1,173.3,83,1147.2
1904,21,94.2,186,135.3,25.6,154.3,56.9,90.5,100.1,96.8,110.6,90.5,1161.8
1905,70.9,13.7,64.6,81.4,58.1,152.4,96.1,77.4,113.6,149.3,55.9,75.2,1008.6
1906,29.7,57.1,45.6,78.8,116.8,39,172.7,44.7,109.7,24.7,142.7,45,906.5
1907,189.2,147.2,24.7,72.7,101,91.7,161,163.5,137.6,140.3,27.7,130.8,1387.4
1908,11.4,13.7,206.4,85.6,149.3,96.1,143.7,96,55.7,102.1,49.6,114.1,1123.7
1909,47.9,0,102.8,30.4,119.9,82.3,138.9,181.4,90,93.5,87.6,20.2,994.9
1910,114.9,153.6,193.3,51.5,127.8,130.2,160.6,152.1,63.4,55.9,94.5,72.1,1369.9
1911,31.9,44.7,59,189,139.1,137.1,41.7,82,68.9,118.9,105.3,128.9,1146.5
1912,44.7,92.1,155.6,142.2,39.8,139.1,126.6,91.7,141.1,53,50.3,20.7,1096.9
1913,67.1,35.1,59.8,37.6,111.1,37.5,111.1,145.9,45,93.6,156.7,71.3,971.8
1914,33.6,42.2,56.4,107,119.9,84.7,103.8,29.5,35.9,29.4,36.1,45.2,723.7
1915,78.5,16.5,184.8,113.2,96.5,114.1,186.2,102.3,135.5,92.1,135.2,13.7,1268.6
1916,52.1,13,96.2,149.4,127.2,160,208.4,244.4,68.2,152.6,196.7,218.3,1686.5
1917,88.4,322,69.4,236.8,203.4,137.7,243.6,195.6,178.5,132.3,42.5,32.1,1882.3
1918,105.9,112.3,136.7,126.2,65.5,202.1,150.8,89.9,65.2,205.2,65.2,57.3,1382.3
1919,43.4,21.4,52.7,28.7,151,91.6,105.4,76.2,90.4,103.2,54.9,34.3,853.2
1920,115.6,116.6,106.2,155.6,142,217.3,94.9,152.3,128.9,74.7,93.3,80.7,1478.1
1921,78.1,60.2,35,74.3,34.3,174.2,87,65.9,94.5,153.7,50.9,101.1,1009.2
1922,99.3,158.6,157.5,105.7,101.8,76.1,43.4,64.5,76.8,102.9,93.2,142.6,1222.4
1923,164.3,97.8,44.7,145.6,104.7,227.4,71.5,81.3,101.8,95.1,62.5,51.2,1247.9
1924,97.9,121.2,92.3,293.4,270.1,167.7,75.2,94.6,106.4,144.1,118.9,112,1693.8
1925,53.9,85.6,33,32.7,133.6,199.5,106.3,93.3,116.9,51.8,62,28.6,997.2
1926,102.7,65.4,61.4,39.6,347.9,137.6,71.7,169.8,73,192,191.8,162.4,1615.3
1927,37,141.7,116,100,139.3,180.2,215.4,177,109.6,67.5,41.3,36,1361
1928,5.1,41,87.7,124.6,264.9,148.6,217.3,85,199,133.3,48.1,152.6,1507.2
1929,35.1,15.5,142.9,117.3,104.4,143.8,157.9,124.1,59.9,128.5,180.2,100,1309.6
1930,213.3,169.2,6.1,72.3,69.7,109.1,88.6,86.2,119.8,155.2,79.1,20.8,1189.4
1931,187.4,40.9,21.3,228.5,72.5,129.6,180.6,83.9,124.7,54.9,42.8,83.8,1250.9
1932,28.9,191.1,93.6,102.8,85.5,103.5,117.9,58,60.8,84.8,27.2,75.5,1029.6
1933,37.8,197,19.5,60.8,163.2,67.9,127.8,102.3,112.5,74.1,63.4,54.6,1080.9
1934,40,207.7,42.5,84.8,142.4,164.6,151.9,75.1,52.9,55.3,29.8,60.5,1107.5
1935,56.9,244.4,111.2,129,107.8,178.8,268.2,119.9,70.2,104.8,87.1,85.4,1563.7
1936,175.2,236.1,63.2,69.1,32,70.1,133.1,210.6,93.8,80,81.1,91.6,1335.9
1937,101,26.9,89.6,68.9,179,184.4,107.5,39.1,106.1,52.7,80.8,53.6,1089.6
1938,95.2,290.9,7.6,187.6,117.6,137.2,304.6,133.6,57.6,42.2,129.6,110.9,1614.6
1939,153,17.1,6.4,102.5,33.5,179.4,214.6,154,120.2,78.1,107.5,86.3,1252.6
1940,207.5,88.7,30.1,78.2,124.6,74.5,65.9,59.5,72.7,85.2,74.4,34.9,996.2
1941,107.4,41.9,123.9,23.1,25.8,165.8,197.5,129.4,79.9,215.8,87,54.3,1251.8
1942,33.6,14.7,55.9,55.7,122,24.4,171.4,160.9,116.2,112.4,74.5,59.5,1001.2
1943,39.9,42.2,20.6,63.1,41.6,233.5,107.1,127,180.5,63.4,58.4,33.3,1010.6
1944,47.9,128.4,143.6,118.6,69.8,133.2,84.8,95.4,45.9,196.3,31.8,136,1231.7
1945,124,172.9,64,77.9,209.4,74.6,105.1,93.7,104.9,72.5,12.2,49.4,1160.6
1946,19.5,11.3,142.7,145.4,146.4,102,169.7,210.6,160.3,119.3,132.4,75.5,1435.1
1947,66.4,40.5,114.4,207,52.6,168.8,229.7,109.8,119.4,109.4,62.8,59.6,1340.4
1948,81.3,38.6,120.6,75.7,190.8,129.3,171.8,83.6,87.7,173.7,144.6,58.5,1356.2
1949,48.6,76.4,47.1,137.8,144.5,122.8,97,76.1,51.9,57,78.7,99,1036.9
1950,15.3,51.1,32.6,128.9,52,180.3,40,88.4,58.7,119,83.1,70.7,920.1
1951,81.6,110.2,35.6,149.8,94.5,89.8,149.6,211.5,18.9,95.4,131,53.1,1221
1952,39,143.1,23,58.1,102.5,155.9,99.9,172.7,112.9,99.6,178.6,93,1278.3
1953,75.8,41.9,49.9,210.1,188,180.6,192.6,224.3,34.8,79.2,49.6,61.8,1388.6
1954,9.2,82.9,267.6,89.9,231.7,97.8,102.8,111,104.4,57.3,35.3,141.1,1331
1955,15,161.2,133.9,55,96,152.4,93.4,77.6,99.4,141.7,97.1,79.1,1201.8
1956,67.3,131.9,29.6,359.3,135.9,254,193.8,227,165.6,160.6,80.1,112.6,1917.7
1957,7.9,44,63.7,55.2,149.5,86,75,95.8,46.7,130.1,70,46.6,870.5
1958,33.5,284,77,33.7,131,41.8,185.4,97.4,80.5,137.9,58.5,181.8,1342.5
1959,118,48.1,105.4,227.3,126.8,59.1,163.4,127.5,41.5,98.3,39.8,108.4,1263.6
1960,13.1,184.9,87.6,123.4,127.3,146.2,132.9,74.7,229.5,98.1,101.6,95.9,1415.2
1961,130.2,80.8,53,97.4,137.5,274.7,198.4,184.7,120.9,139.4,47.4,21.3,1485.7
1962,41.4,40.6,130.4,137.1,190.8,148.4,165,129.4,93.6,200.1,110.2,77,1464
1963,67.5,64.5,100,90.5,77.1,131.4,114.4,103.7,70.6,21.1,74.4,47.9,963.1
1964,82.6,41.2,79.7,34.4,160.4,125.3,196,180.1,122.9,115.4,53.8,115.4,1307.2
1965,143.9,130.6,87.4,109.2,112,133.6,151.9,324,34.5,71.1,75.7,94.4,1468.3
1966,135.5,194.1,93.8,90.2,154.9,151.1,134.8,92.2,82.1,56.6,121.1,80.9,1387.3
1967,82.6,204.3,123.1,53.6,65.1,60.7,65.9,104.3,105.1,15.8,253.7,114.4,1248.6
1968,40.4,42.6,70.3,242.3,182.9,179.1,108.3,167.4,66.8,89.5,62.8,139.1,1391.5
1969,102.4,151.7,10.8,106.7,127.7,104.2,88.1,139.2,113.1,24.7,41.1,125.3,1135
1970,35.3,41.9,107.7,82.1,159,144.2,155.7,240.6,113.2,141.7,91,32.9,1345.3
1971,57.2,106.6,94.8,131.2,133.7,85,137.8,157.3,143.1,151.8,93,116.5,1408
1972,45.6,45.5,247.1,101.1,162.4,105,117.3,134.1,60.5,120.5,44.5,43.2,1226.8
1973,52.4,5.2,76.9,88.9,69.9,194.3,114,125.9,153.4,60.9,98.7,43.8,1084.3
1974,8.1,40.4,21.9,136.4,112.2,99.5,128.8,79.2,118,73.7,16.1,86.9,921.2
1975,56.7,36.7,107.9,79.7,108.5,206.3,73.3,79.8,116.8,129.8,118.9,49.9,1164.3
1976,236.6,33.5,26.2,152.9,73.3,123.1,188.7,117,202.5,69.2,136.8,103.4,1463.2
1977,39.1,35,83,66.8,154.4,200,162.1,70,94.3,91.4,69.7,100.5,1166.3
1978,38.2,28.5,23.4,148.6,37.9,143.5,161.3,95.7,97.4,47.3,79.8,68.3,969.9
1979,8.6,229.7,151.9,133.6,70.8,248.1,222.6,138.9,101.4,136.2,107.7,95.5,1645
1980,95.8,97.8,155.4,61.4,49.4,106.5,141.2,73.6,74.2,46.3,141.2,109.3,1152.1
1981,62.3,42.5,24.5,130.1,53.8,193.2,124.8,113.6,108.6,54.9,106.8,72.3,1087.4
1982,42.6,86.3,82.9,148,59.6,95.4,94.6,33.3,83.5,96.8,37.8,41.8,902.6
1983,52.2,46.2,54.1,115.4,69.8,139.8,41.1,54.4,97.9,174.8,45.9,162.1,1053.7
1984,108.2,84.1,188.4,37.4,99.8,67.5,107.2,116.3,108.5,22.3,111,197.3,1248
1985,98,132.1,102.6,94.4,217.6,100.1,173.8,124.7,86.2,54,90.1,131.9,1405.5
1986,222.6,129,46.6,42.7,93.1,61.3,162.2,176,70.7,100.3,54.5,34.4,1193.4
1987,88.5,17.2,153,100.2,58.5,109,114.6,87.8,129.6,80.9,121.9,114.5,1175.7
1988,20.9,71.4,180.5,22.2,112.5,57.1,223.8,163.2,124.4,72.8,83.7,142.5,1275
1989,142.5,39.1,31.8,104.8,125.9,97.2,83.6,135.5,122.7,168.8,127.2,57,1236.1
1990,61,9.3,,122,136.1,122.7,156.7,,83.1,111.5,114.2,39.5,
1991,28.2,84.5,109.6,171.4,41.6,139.9,141.3,182.9,108.2,83.1,98.2,61.4,1250.3
1992,97.4,50.4,48.2,75.6,128.8,100,195,225.1,115.3,104,57.9,99.1,1296.8
1993,51.5,34.3,44.5,83.9,85.6,218.7,37.9,148,79.8,31.2,75.4,46.1,936.9
1994,53.8,38.9,,,,,,,,,,,
